what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270913459301
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1270913463149
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1270913465330
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913507536
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913509342
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RemoveAllBreakpoints",1270913509397
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913514315
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913519657
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913520150
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913550527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913552251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913559764
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1270913560637
activated,perspective,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.Perspective",1270913563035
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.LogCatView",1270913563039
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913563513
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913565301
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.DeviceView",1270913568437
opened,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.HeapView",1270913572822
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1270913574248
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.HeapView",1270913574444
opened,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1270913580700
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1270913581869
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.DeviceView",1270913582442
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.ThreadView",1270913584233
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913586147
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270913594547
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.DeviceView",1270913594564
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.HeapView",1270913600276
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1270913602768
opened,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.FileExplorerView",1270913604918
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.FileExplorerView",1270913606214
activated,view,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms.views.ThreadView",1270913608676
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1270913625568
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1270913625573
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1270913626066
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1270913626066
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270913636910
