what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271027965219
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271027971636
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271027974013
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271027974802
opened,editor,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271027980501
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271027980786
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271027980837
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271027980849
activated,editor,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.editors.layout.LayoutEditor",1271027983525
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271027986768
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271027987896
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1271027988414
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271027988936
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271027990918
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271027998257
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1271027998573
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028018244
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028026556
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1271028027860
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1271028027878
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1271028027898
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271028030320
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271028048212
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028072493
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028082939
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1271028087028
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271028088754
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028090576
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028108313
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1271028118306
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1271028123715
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028126826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028127898
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028128954
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028132021
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1271028136844
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1271028137567
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1271028138979
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271028140314
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028142509
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028145425
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1271028147348
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1271028151748
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1271028152940
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028157107
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028160081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028167550
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271028173182
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1271028181157
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1271028182925
