what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1270911052569
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1270911052570
os,sysinfo,,,"macosx",1270911052574
arch,sysinfo,,,"x86",1270911052574
ws,sysinfo,,,"cocoa",1270911052574
locale,sysinfo,,,"en_US",1270911052574
processors,sysinfo,,,"2",1270911052574
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270911052574
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1270911052574
java.specification.name,sysinfo,,,"Java Platform API Specification",1270911052574
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270911052574
java.specification.version,sysinfo,,,"1.6",1270911052574
java.vendor,sysinfo,,,"Apple Inc.",1270911052574
java.version,sysinfo,,,"1.6.0_17",1270911052574
java.vm.info,sysinfo,,,"mixed mode",1270911052574
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270911052574
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270911052574
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270911052574
java.vm.specification.version,sysinfo,,,"1.0",1270911052574
java.vm.vendor,sysinfo,,,"Apple Inc.",1270911052574
java.vm.version,sysinfo,,,"14.3-b01-101",1270911052574
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270911061370
started,bundle,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms",1270911074016
started,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1270911074130
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1270911074432
