what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1272342493356
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1272342493502
os,sysinfo,,,"macosx",1272342493506
arch,sysinfo,,,"x86",1272342493506
ws,sysinfo,,,"cocoa",1272342493506
locale,sysinfo,,,"en_US",1272342493506
processors,sysinfo,,,"2",1272342493506
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272342493506
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1272342493506
java.specification.name,sysinfo,,,"Java Platform API Specification",1272342493506
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272342493506
java.specification.version,sysinfo,,,"1.6",1272342493506
java.vendor,sysinfo,,,"Apple Inc.",1272342493506
java.version,sysinfo,,,"1.6.0_17",1272342493506
java.vm.info,sysinfo,,,"mixed mode",1272342493506
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272342493506
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272342493506
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272342493506
java.vm.specification.version,sysinfo,,,"1.0",1272342493506
java.vm.vendor,sysinfo,,,"Apple Inc.",1272342493506
java.vm.version,sysinfo,,,"14.3-b01-101",1272342493506
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1272342493514
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1272342493556
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1272342493569
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1272342493616
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1272342493619
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1272342493654
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1272342493655
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1272342493671
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1272342493673
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1272342493693
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1272342493710
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1272342493804
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1272342493946
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1272342493958
started,bundle,org.eclipse.jem.workbench,2.0.201.v200911302230,"org.eclipse.jem.workbench",1272342494024
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1272342494088
